id,name,description,provider,created_at,updated_at
1004,Anthropic,"Anthropic Models
- Haiku x.y
- Sonnet x.y
- Opus x.y",ANTHROPIC,2025-07-23 15:09:26.887236+00:00,2025-07-23 15:09:26.887244+00:00
1005,DeepSeek,Deepseek Vx and Ry Models,DEEPSEEK,2025-07-23 15:09:26.886930+00:00,2025-07-23 15:09:26.886938+00:00
1008,Gemini,"Google Gemini Models
- x.y Flash
- x.y Pro",GEMINI,2025-07-23 15:09:26.886270+00:00,2025-07-23 15:09:26.886280+00:00
1009,LM Studio,Local provider        using LMStudio (on Mac) at localhost:1234. (/v1),LMSTUDIO,2025-07-23 15:09:26.885572+00:00,2025-07-23 15:09:26.885587+00:00
1003,Mistral,"Mistral Models
- Mistral
- Devstral
- Codestral
- Mixtral",MISTRAL,2025-07-23 15:09:26.887560+00:00,2025-07-23 15:09:26.887567+00:00
3,Ollama,Ollama provided models,OLLAMA,2025-07-23 15:09:26.887895+00:00,2025-07-23 15:09:26.887902+00:00
2,OpenAi,"OppenAi Models
- Gpt 4.x
- o1-xxx
- o3-xxx",OPENAI,2025-07-23 15:09:26.888223+00:00,2025-07-23 15:09:26.888230+00:00
1007,OpenRouter,Proxy to many Models,OPENROUTER,2025-07-23 15:09:26.886581+00:00,2025-07-23 15:09:26.886588+00:00
