metric,value,percentage
total_questions,2,100.0
status_gold,0,0.0
status_failed,2,100.0
requires_escalation,0,0.0
case_unknown,2,100.0
avg_time_seconds,0.37,
min_time_seconds,0.14,
max_time_seconds,0.60,
total_time_seconds,0.74,
