metric,value,percentage
total_questions,10,100.0
status_gold,0,0.0
status_failed,10,100.0
requires_escalation,0,0.0
case_unknown,10,100.0
avg_time_seconds,1.45,
min_time_seconds,0.82,
max_time_seconds,5.17,
total_time_seconds,14.51,
